scary	hrozivý
scary	plachý
scary	vyplašený
scary	vyľakaný
scat	zahnať
scat	odohnať
scat	trus
scat	lajno
scat	bobky
scat	poplatok
scathe	ublížiť
scathe	zraniť
scathe	spáliť
scathe	zničiť
scathe	škoda
scathe	poškodenie
scathe	zranenie
scathe	pohroma
scathing	ostrý
scathing	jedovatý
scathing	zničujúci
scatological	skatologický
scatology	skatológia
scatter	rozhodiť
scatter	rozohnať
scatter	rozhadzovať
scatter	rozprášiť
scatter	rozfúkať
scatter	rozsievať
scatter	rozdávať
scatter	roztrúsiť
scatter	posypať
scatter	premrhať
scatter	rozptýlenie
scatter	rozohnanie
scatter	rozfúkanie
scatter	rozhadzovanie
scatter	rozsievanie
scatter	rozptyl
scatter	rozširovať
scatter	rozptyľovať
scatter	rozptýliť
scatter	zmariť
scatter rug	koberec
scatter rug	koberček
scatterbrain	zmätkár
scatterbrained	roztržitý
scatterbrained	popletený
scatterbrained	zmätený
scattered	roztrúsený
scattered	rozptýlený
scattered	izolovaný
scattered	osamotený
scattered	odtrhnutý
scattered	jednotlivý
scattered	ojedinelý
scattered	miestny
scattered	roztržitý
scattered	rozptylový
scattering	rozptyľovanie
scattering	rozptylový
scavenge	upratovať
scavenge	čistiť
scavenge	zametať
scavenge	vymetať
scavenge	preplachovať
scavenge	splachovať
scavenge	vyplachovať
scavenger	zametač
scavenger	čistič
scavenger	saprofág
scenario	scenár
scenario	variant
scenarist	scenárista
scene	scéna
scene	dejisko
scene	výstup
scene	výjav
scene	ária
scene	dekorácia
scene	kulisa
scene	javisko
scene	krajina
scene	scenéria
scene	pohľad
scene	obraz
scene	prostredie
scene	oblasť
scene	epizóda
scene	záber
scene	šot
scene	príbeh
scene	udalosť
scene	divadlo
scenery	scenéria
scenery	príroda
scenery	dekorácia
scenery	kulisa
scenery	krajina
scenic	scénický
scenic	javiskový
scenic	dramatický
scenic	divadelný
scenic	scénografický
scenic	výtvarný
scenic	prírodný
scenic	krajinný
scenic	malebný
scenic	dejový
scenic	vyhliadkový
scent	stopa
scent	čuch
scent	voňavka
scent	ňuchať
scent	cítiť
scent	navoňať
scent	čuchať
scent	vetriť
scent	vyňuchať
scent	pátrať
scent	tušiť
scent	predvídať
scent	predpokladať
scent	parfumovať
scent	voňať
scent	páchnuť
scent	zaváňať
scent	vôňa
scent	zápach
scent	nos
scent	tušenie
scent	parfum
scent	pach
scent out	zvetriť
scent out	vyňuchať
scented	vonný
scented	voňavý
scented	voňajúci
scented	navoňaný
scented	parfumovaný
scented	parfémovaný
scentless	nezapáchajúci
sceptered	vládnuci
sceptic	skeptik
sceptic	cynik
sceptic	pochybovač
sceptic	neveriaci
sceptic	agnostik
sceptic	ateista
sceptic	skeptický
sceptical	nedôverčivý
sceptical	pochybovačný
sceptical	skeptický
scepticism	nedôvera
scepticism	pochybovačnosť
scepticism	skepticizmus
scepticism	skepsa
scepticism	pyrhonizmus
sceptre	žezlo
schedule	súpis
schedule	program
schedule	naplánovať
schedule	katalóg
schedule	termín
schedule	formulár
schedule	dodatok
schedule	doložka
schedule	listina
schedule	dokument
schedule	prehľad
schedule	priradiť
schedule	rozvrhovať
schedule	režim
schedule	osnova
schedule	vložka
schedule	príloha
schedule	funkcia
schedule	schéma
schedule	rozpis
schedule	rozbor
schedule	rozvrh
schedule	harmonogram
schedule	plán
schedule	zoznam
schedule	inventár
schedule	list
schedule	lístok
schedule	tabuľka
schedule	plánovať
schedule	určiť
scheduled	stanovený
scheduled	cestovný
scheduled	spísaný
scheduled	plánovaný
scheduler	plánovač
scheduler	zapisovateľ
scheduling	plánovanie
scheduling	rozvrhovanie
scheduling	rozpis
scheelite	scheelit
